Sample_Name,Source_File,Site,Height_Above_Bottom_Low_m,Height_Above_Bottom_High_m,Depth_Below_Ground_Shallow_m,Depth_Below_Ground_Deep_m,Recovered_Mass_g,Gravel_percent,Sand_percent,Passing_No200_percent,Pan_Mass_Percent,D10_mm,D20_mm,D25_mm,D30_mm,D50_mm,D60_mm,D75_mm,Cu,Cc,S0_Trask
Sample_1-0,Sample_1-0.csv,1,0.0,0.0,10.0,10.0,500.76,0.0,77.1467369598211,22.853263040178902,22.853263040178927,0.033932643348908983,0.062239150521311196,0.09016729462190166,0.13420869012934303,0.4703313439654299,0.6754486864492535,1.0250837192541236,19.905572327626246,0.785870925141679,3.3717483086479763
Sample_1-10,Sample_1-10.csv,1,10.0,10.0,0.0,0.0,498.52,0.0,75.48343095562865,24.51656904437135,24.51656904437134,0.03256450062103255,0.057321443280931306,0.07820475678596156,0.12153165363750858,0.4101678677545091,0.6023383624647884,0.9554038668846184,18.49677873075548,0.7529980783952236,3.49523928079842
Sample_1-3,Sample_1-3.csv,1,3.0,3.0,7.0,7.0,499.0,0.0,78.51703406813625,21.482965931863745,21.482965931863728,0.035271316370693875,0.06724679775792314,0.12177259565378436,0.18969784619085148,0.6394861484136173,0.8904609814467873,1.653986214275459,25.24603766097743,1.145745703762938,3.685455409676223
Sample_1-5,Sample_1-5.csv,1,5.0,5.0,5.0,5.0,499.18000000000006,1.149885812732876,66.06434552666371,32.78576866060341,32.78576866060339,0.028236201963532388,0.04309638385542653,0.05324245915151256,0.06577719991566167,0.37110684080148715,0.6277186321777479,1.1402867089994262,22.230986766154277,0.24410656787471102,4.627836189850075
Sample_1-6,Sample_1-6.csv,1,6.0,6.0,4.0,4.0,500.0,0.0,76.188,23.811999999999998,23.812,0.03311392261361328,0.05927199301947941,0.08827163259945776,0.15056285624592666,0.5790236816761559,0.8057387020384728,1.4191526659750309,24.33232424440196,0.8496319504876365,4.009627049994024
Sample_1-7,Sample_1-7.csv,1,7.0,7.0,3.0,3.0,499.53999999999996,0.060055250830757245,69.50794731152662,30.43199743764262,30.431997437642636,0.029174911312324983,0.04600948378821775,0.05777850078018641,0.07255797886741121,0.2678583579194736,0.4415487245922831,0.7465239398497548,15.134535281543434,0.40867886103942264,3.594502047741234
Sample_1-9,Sample_1-9.csv,1,9.0,9.0,1.0,1.0,498.22,0.0,37.694191321103126,62.305808678896874,62.30580867889687,0.023110086009857058,0.028868977047729245,0.032266087851604744,0.036062948248087145,0.05627569866202571,0.07029925601860607,0.09105278978958968,3.0419296574067958,0.8005162764045645,1.6798614830720806
